Flavor,Base Flavor,Liked,Flavor Rating,Texture Rating,Total Rating
Salted Caramel Crisp,Caramel,Yes,9.2,8.8,18.0
Strawberry Cheesecake,Strawberry,Yes,8.5,8.1,16.6
Dark Chocolate Sea Salt,Chocolate,Yes,9.5,9.0,18.5
Mango Passion Fruit,Fruit,Yes,7.8,7.2,15.0
Classic Vanilla Bean,Vanilla,Yes,8.0,8.5,16.5
Matcha Green Tea,Tea,No,4.5,5.0,9.5
Peanut Butter Fudge,Chocolate,Yes,8.9,8.4,17.3
Lemon Berry Sorbet,Fruit,Yes,8.1,7.5,15.6
Espresso Cookie Crunch,Coffee,Yes,9.0,8.6,17.6
Cookies & Cream,Vanilla,Yes,9.1,8.9,18.0
Butter Pecan Delight,Vanilla,No,5.2,6.0,11.2
Triple Berry Swirl,Fruit,Yes,7.9,7.8,15.7
Double Dutch Chocolate,Chocolate,Yes,9.3,8.7,18.0
Hazelnut Praline,Caramel,Yes,8.6,8.2,16.8
Black Sesame,Tea,No,3.9,4.8,8.7
