Country,Rank,Capital,Continent,Population,Area,Density,World Population Percentage
Kazakhstan,84,Port Hope_84,North America,65782082,430243,152.9,0.82
Eswatini,54,Grand View_54,Europe,11373206,526061,21.6,0.14
Honduras,71,Metro City_71,Oceania,137723795,1856070,74.2,1.72
Dominica,46,Eastport_46,Africa,40262308,1404449,28.7,0.5
Djibouti,45,Alpha_45,Asia,59662675,1092871,54.6,0.75
Croatia,40,Capital City_40,Asia,90822033,510219,178.0,1.14
Brazil,23,Rivertown_23,Oceania,142925317,1443312,99.0,1.79
Jamaica,81,Kingston_81,North America,41146274,1680933,24.5,0.51
Bahamas,11,Star Town_11,Oceania,88689509,1404168,63.2,1.11
Afghanistan,1,Capital City_1,Africa,145247672,1947718,74.6,1.82
Bhutan,19,New Haven_19,Asia,40968990,858664,47.7,0.51
Cape Verde,31,Highland_31,Europe,101168159,151668,667.0,1.26
India,74,Springfield_74,South America,129621920,1913403,67.7,1.62
Chile,34,New Haven_34,Oceania,88432679,200062,442.0,1.11
Lebanon,91,Beta_91,Oceania,99637025,1635165,60.9,1.25
Angola,5,Grand View_5,Asia,69015985,415351,166.2,0.86
Iraq,77,Sun Valley_77,Africa,16494796,254168,64.9,0.21
Ireland,78,Highland_78,Oceania,142974150,139634,1023.9,1.79
Bangladesh,13,Blue Ridge_13,Asia,109096753,1571264,69.4,1.36
Central African Republic,32,Central Bay_32,South America,148229135,1455368,101.8,1.85
Fiji,56,Grand View_56,North America,14357894,574104,25.0,0.18
Laos,89,Metro City_89,Europe,9488265,1595605,5.9,0.12
Burundi,27,Gamma_27,South America,124147059,1671435,74.3,1.55
Czech Republic,43,North City_43,Africa,77850058,734658,106.0,0.97
Haiti,70,Springfield_70,Asia,51309445,1889443,27.2,0.64
Belgium,16,Greenfield_16,Asia,100063900,1487643,67.3,1.25
Cuba,41,New Haven_41,North America,53052409,1168334,45.4,0.66
Luxembourg,97,Sun Valley_97,Africa,131733564,830968,158.5,1.65
Azerbaijan,10,Highland_10,Africa,30242418,1377925,21.9,0.38
Iceland,73,North City_73,Europe,137008308,1905427,71.9,1.71
Bahrain,12,New Haven_12,North America,102311753,490494,208.6,1.28
Ecuador,48,Greenfield_48,Asia,120593574,1813936,66.5,1.51
Kiribati,86,Grand View_86,North America,52498990,1863665,28.2,0.66
Cameroon,29,Lakeview_29,Oceania,147424305,946328,155.8,1.84
Libya,94,Rivertown_94,Oceania,6149101,788693,7.8,0.08
Argentina,6,Rivertown_6,Asia,120010619,1624580,73.9,1.5
Guinea,67,Lakeview_67,Oceania,143213397,211533,677.0,1.79
Guatemala,66,New Haven_66,Asia,64524160,758689,85.0,0.81
Colombia,36,Lakeview_36,North America,30616482,1109725,27.6,0.38
Belize,17,Greenfield_17,Asia,70847634,1193654,59.4,0.89
El Salvador,50,Beta_50,Oceania,148087298,448145,330.4,1.85
China,35,New Haven_35,Africa,67613754,987524,68.5,0.85
Australia,8,Silver Creek_8,Africa,108919558,895631,121.6,1.36
Lithuania,96,Greenfield_96,Asia,62718509,15428,4065.2,0.78
Cambodia,28,Alpha_28,Africa,48504949,1948626,24.9,0.61
Bolivia,20,Beta_20,Oceania,97884186,1889920,51.8,1.22
Japan,82,Gamma_82,Oceania,89764554,1471855,61.0,1.12
Burkina Faso,26,Gamma_26,North America,32409477,1427310,22.7,0.41
Ghana,63,Eastport_63,South America,121217860,720855,168.2,1.52
Barbados,14,Beta_14,North America,2249822,1838357,1.2,0.03
Bulgaria,25,Capital City_25,Europe,143895385,1994112,72.2,1.8
Andorra,4,Highland_4,North America,57509454,700041,82.2,0.72
Benin,18,Springfield_18,Asia,116407232,389253,299.1,1.46
Costa Rica,39,Alpha_39,North America,123663505,1385606,89.2,1.55
Austria,9,Lakeview_9,Asia,115968595,990871,117.0,1.45
Israel,79,Westfield_79,Europe,77869757,503236,154.7,0.97
Armenia,7,Kingston_7,Europe,51935276,999189,52.0,0.65
Grenada,65,Old Town_65,Oceania,112477168,237869,472.9,1.41
Comoros,37,Silver Creek_37,Africa,26169128,598450,43.7,0.33
Latvia,90,Sun Valley_90,Africa,68804293,1252897,54.9,0.86
Finland,57,Kingston_57,Oceania,55385136,80653,686.7,0.69
Malaysia,100,Greenfield_100,Oceania,58079592,1445148,40.2,0.73
Ethiopia,55,Central Bay_55,South America,92470328,1561749,59.2,1.16
Denmark,44,Beta_44,Europe,108744253,850531,127.9,1.36
Equatorial Guinea,51,Springfield_51,North America,147023260,1176245,125.0,1.84
Guinea-Bissau,68,Port Hope_68,Oceania,52117029,1375757,37.9,0.65
Dominican Republic,47,Westfield_47,Africa,92438673,264644,349.3,1.16
Guyana,69,Rivertown_69,Africa,52014414,951059,54.7,0.65
Germany,62,New Haven_62,South America,33029727,1459566,22.6,0.41
Madagascar,98,Westfield_98,Oceania,50520238,892614,56.6,0.63
Italy,80,Rivertown_80,Oceania,104765534,1385267,75.6,1.31
Cyprus,42,Capital City_42,South America,85154504,711193,119.7,1.06
Gabon,59,Blue Ridge_59,North America,74087257,1624898,45.6,0.93
Egypt,49,Beta_49,Africa,98304971,1086173,90.5,1.23
Malawi,99,Gamma_99,Oceania,118202138,575499,205.4,1.48
France,58,Omega_58,North America,16135281,37770,427.2,0.2
Iran,76,Grand View_76,South America,25010120,587476,42.6,0.31
Chad,33,Greenfield_33,North America,15933248,413733,38.5,0.2
Liechtenstein,95,Old Town_95,Asia,103657907,101171,1024.6,1.3
Gambia,60,Star Town_60,Africa,131334402,1576875,83.3,1.64
Greece,64,Metro City_64,Oceania,19977653,317866,62.8,0.25
Kenya,85,Blue Ridge_85,Africa,44588715,1049146,42.5,0.56
Congo,38,Alpha_38,Africa,3751075,39663,94.6,0.05
Canada,30,Springfield_30,Asia,40761492,1864878,21.9,0.51
Albania,2,Greenfield_2,North America,13524752,1401398,9.7,0.17
Estonia,53,New Haven_53,Africa,117303067,436887,268.5,1.47
Botswana,22,Old Town_22,South America,84062379,1830843,45.9,1.05
Algeria,3,Metro City_3,Africa,60011133,1934206,31.0,0.75
Brunei,24,North City_24,Asia,18202919,77094,236.1,0.23
Kyrgyzstan,88,Omega_88,Asia,60634373,663710,91.4,0.76
Lesotho,92,Grand View_92,South America,71319499,1792248,39.8,0.89
Indonesia,75,Springfield_75,Asia,30158306,95833,314.7,0.38
Kuwait,87,New Haven_87,Asia,51733755,700402,73.9,0.65
Jordan,83,Central Bay_83,Africa,82347770,826412,99.6,1.03
Bosnia and Herzegovina,21,Alpha_21,South America,128042847,358820,356.8,1.6
Georgia,61,Alpha_61,Asia,10057699,1461460,6.9,0.13
Hungary,72,Port Hope_72,Asia,142100639,1970285,72.1,1.78
Belarus,15,Grand View_15,Africa,144135403,208599,691.0,1.8
Liberia,93,Central Bay_93,North America,81519162,201842,403.9,1.02
Eritrea,52,Silver Creek_52,Europe,81331959,1550934,52.4,1.02
